재무제표종류,재무제표구분,연결/별도,회사명,Industry,상장시장,결산기준일,Year,보고서종류,항목명,주요계정,계정코드,당기,전기
"재무상태표, 유동/비유동법-별도재무제표",BS,별도,BGF리테일,Consumer Products,KOSPI,2022-09-30,2022,3분기보고서,   자산총계,자산총계,A,2.83685E+12,2.52296E+12
"재무상태표, 유동/비유동법-별도재무제표",BS,별도,BGF리테일,Consumer Products,KOSPI,2022-09-30,2022,3분기보고서,   부채총계,부채총계,B,1.95593E+12,1.74082E+12
"재무상태표, 유동/비유동법-별도재무제표",BS,별도,BGF리테일,Consumer Products,KOSPI,2022-09-30,2022,3분기보고서,   자본총계,자본총계,C,8.80921E+11,7.8214E+11
"재무상태표, 유동/비유동법-별도재무제표",BS,별도,CJ CGV,Media,KOSPI,2022-09-30,2022,3분기보고서,   자산총계,자산총계,A,2.18473E+12,2.01952E+12
"재무상태표, 유동/비유동법-별도재무제표",BS,별도,CJ CGV,Media,KOSPI,2022-09-30,2022,3분기보고서,   부채총계,부채총계,B,1.54063E+12,1.62254E+12
"재무상태표, 유동/비유동법-별도재무제표",BS,별도,CJ CGV,Media,KOSPI,2022-09-30,2022,3분기보고서,   자본총계,자본총계,C,6.44102E+11,3.96981E+11
"재무상태표, 유동/비유동법-별도재무제표",BS,별도,HD현대,Industrial Products,KOSPI,2022-09-30,2022,3분기보고서,   자산총계,자산총계,A,8.46404E+12,8.11326E+12
"재무상태표, 유동/비유동법-별도재무제표",BS,별도,HD현대,Industrial Products,KOSPI,2022-09-30,2022,3분기보고서,   부채총계,부채총계,B,2.8561E+12,2.47033E+12
"재무상태표, 유동/비유동법-별도재무제표",BS,별도,HD현대,Industrial Products,KOSPI,2022-09-30,2022,3분기보고서,   자본총계,자본총계,C,5.60794E+12,5.64292E+12
"재무상태표, 유동/비유동법-별도재무제표",BS,별도,HL만도,Automotive,KOSPI,2022-09-30,2022,3분기보고서,   자산총계,자산총계,A,4.07186E+12,3.25303E+12
"재무상태표, 유동/비유동법-별도재무제표",BS,별도,HL만도,Automotive,KOSPI,2022-09-30,2022,3분기보고서,   부채총계,부채총계,B,2.08981E+12,2.09784E+12
"재무상태표, 유동/비유동법-별도재무제표",BS,별도,HL만도,Automotive,KOSPI,2022-09-30,2022,3분기보고서,   자본총계,자본총계,C,1.98205E+12,1.15519E+12
"재무상태표, 유동/비유동법-별도재무제표",BS,별도,LIG넥스원,Industrial Products,KOSPI,2022-09-30,2022,3분기보고서,   자산총계,자산총계,A,3.11951E+12,2.56903E+12
"재무상태표, 유동/비유동법-별도재무제표",BS,별도,LIG넥스원,Industrial Products,KOSPI,2022-09-30,2022,3분기보고서,   부채총계,부채총계,B,2.16704E+12,1.80573E+12
"재무상태표, 유동/비유동법-별도재무제표",BS,별도,LIG넥스원,Industrial Products,KOSPI,2022-09-30,2022,3분기보고서,   자본총계,자본총계,C,9.52465E+11,7.63304E+11
"재무상태표, 유동/비유동법-별도재무제표",BS,별도,SIMPAC,Industrial Products,KOSPI,2022-09-30,2022,3분기보고서,   자산총계,자산총계,A,8.32369E+11,7.9676E+11
"재무상태표, 유동/비유동법-별도재무제표",BS,별도,SIMPAC,Industrial Products,KOSPI,2022-09-30,2022,3분기보고서,   부채총계,부채총계,B,3.04015E+11,3.05675E+11
"재무상태표, 유동/비유동법-별도재무제표",BS,별도,SIMPAC,Industrial Products,KOSPI,2022-09-30,2022,3분기보고서,   자본총계,자본총계,C,5.28354E+11,4.91085E+11
"재무상태표, 유동/비유동법-별도재무제표",BS,별도,SK가스,Energy and Natural Resources,KOSPI,2022-09-30,2022,3분기보고서,   자산총계,자산총계,A,5.12096E+12,4.67758E+12
"재무상태표, 유동/비유동법-별도재무제표",BS,별도,SK가스,Energy and Natural Resources,KOSPI,2022-09-30,2022,3분기보고서,   부채총계,부채총계,B,3.22896E+12,2.80851E+12
"재무상태표, 유동/비유동법-별도재무제표",BS,별도,SK가스,Energy and Natural Resources,KOSPI,2022-09-30,2022,3분기보고서,   분기말자본,자본총계,C,1.89199E+12,1.86906E+12
"재무상태표, 유동/비유동법-별도재무제표",BS,별도,고려아연,Industrial Products,KOSPI,2022-09-30,2022,3분기보고서,   자산총계,자산총계,A,9.56584E+12,8.32123E+12
"재무상태표, 유동/비유동법-별도재무제표",BS,별도,고려아연,Industrial Products,KOSPI,2022-09-30,2022,3분기보고서,   부채총계,부채총계,B,1.83246E+12,1.16066E+12
"재무상태표, 유동/비유동법-별도재무제표",BS,별도,고려아연,Industrial Products,KOSPI,2022-09-30,2022,3분기보고서,   자본총계,자본총계,C,7.73338E+12,7.16057E+12
"재무상태표, 유동/비유동법-별도재무제표",BS,별도,극동유화,Energy and Natural Resources,KOSPI,2022-09-30,2022,3분기보고서,   자산총계,자산총계,A,3.14064E+11,2.95977E+11
"재무상태표, 유동/비유동법-별도재무제표",BS,별도,극동유화,Energy and Natural Resources,KOSPI,2022-09-30,2022,3분기보고서,   부채총계,부채총계,B,1.23639E+11,1.21393E+11
"재무상태표, 유동/비유동법-별도재무제표",BS,별도,극동유화,Energy and Natural Resources,KOSPI,2022-09-30,2022,3분기보고서,   자본총계,자본총계,C,1.90425E+11,1.74585E+11
"재무상태표, 유동/비유동법-별도재무제표",BS,별도,대덕,Industrial Products,KOSPI,2022-09-30,2022,3분기보고서,   자산총계,자산총계,A,5.38683E+11,5.40933E+11
"재무상태표, 유동/비유동법-별도재무제표",BS,별도,대덕,Industrial Products,KOSPI,2022-09-30,2022,3분기보고서,   부채총계,부채총계,B,1671341469,1658601217
"재무상태표, 유동/비유동법-별도재무제표",BS,별도,대덕,Industrial Products,KOSPI,2022-09-30,2022,3분기보고서,   자본총계,자본총계,C,5.37012E+11,5.39275E+11
