date,no,engagement,LoB,rsk_idx_1,rsk_idx_2,rsk_idx_3,risk_index
2022-09-30,1,BGF리테일,CM2,1 감리위험요소평가,4 한계기업,코스닥 영업손실,0
2022-09-30,1,BGF리테일,CM2,1 감리위험요소평가,1 표본심사,당기손익과 영업 CF 괴리(과거1년),0
2022-09-30,1,BGF리테일,CM2,1 감리위험요소평가,1 표본심사,당기손익과 영업 CF 괴리(과거2년연속),0
2022-09-30,1,BGF리테일,CM2,1 감리위험요소평가,1 표본심사,영업손익과 영업 CF 괴리(과거1년),0
2022-09-30,1,BGF리테일,CM2,1 감리위험요소평가,1 표본심사,영업손익과 영업 CF 괴리(과거2년연속),0
2022-09-30,1,BGF리테일,CM2,1 감리위험요소평가,1 표본심사,영업이익감소,0
2022-09-30,1,BGF리테일,CM2,1 감리위험요소평가,1 표본심사,매출액감소,0
2022-09-30,1,BGF리테일,CM2,1 감리위험요소평가,5 기타,당기손익과 영업 CF의 부호 상이,0
2022-09-30,1,BGF리테일,CM2,1 감리위험요소평가,2 직권지정,영업손실,0
2022-09-30,1,BGF리테일,CM2,1 감리위험요소평가,2 직권지정,부의 영업현금흐름,0
2022-09-30,1,BGF리테일,CM2,1 감리위험요소평가,3 관리종목,매출액기준,0
2022-09-30,1,BGF리테일,CM2,2 감사인 감리 대상 개별감사업무 선정,1 개별감사업무 선정,재무비율,1
2022-09-30,1,BGF리테일,CM2,2 감사인 감리 대상 개별감사업무 선정,1 개별감사업무 선정,"영업이익율, 순이익율 ()",0
2022-09-30,1,BGF리테일,CM2,2 감사인 감리 대상 개별감사업무 선정,1 개별감사업무 선정,비상장&자산 2조원 이상,0
2022-09-30,2,CJ CGV,ICE2,1 감리위험요소평가,4 한계기업,코스닥 영업손실,0
2022-09-30,2,CJ CGV,ICE2,1 감리위험요소평가,1 표본심사,당기손익과 영업 CF 괴리(과거2년연속),0
2022-09-30,2,CJ CGV,ICE2,1 감리위험요소평가,1 표본심사,당기손익과 영업 CF 괴리(과거1년),0
2022-09-30,2,CJ CGV,ICE2,1 감리위험요소평가,1 표본심사,영업손익과 영업 CF 괴리(과거2년연속),0
2022-09-30,2,CJ CGV,ICE2,1 감리위험요소평가,1 표본심사,영업손익과 영업 CF 괴리(과거1년),0
2022-09-30,2,CJ CGV,ICE2,1 감리위험요소평가,1 표본심사,영업이익감소,1
2022-09-30,2,CJ CGV,ICE2,1 감리위험요소평가,1 표본심사,매출액감소,0
2022-09-30,2,CJ CGV,ICE2,1 감리위험요소평가,5 기타,당기손익과 영업 CF의 부호 상이,1
2022-09-30,2,CJ CGV,ICE2,1 감리위험요소평가,2 직권지정,영업손실,1
2022-09-30,2,CJ CGV,ICE2,1 감리위험요소평가,2 직권지정,부의 영업현금흐름,1
2022-09-30,2,CJ CGV,ICE2,1 감리위험요소평가,3 관리종목,매출액기준,0
2022-09-30,2,CJ CGV,ICE2,2 감사인 감리 대상 개별감사업무 선정,1 개별감사업무 선정,재무비율,1
2022-09-30,2,CJ CGV,ICE2,2 감사인 감리 대상 개별감사업무 선정,1 개별감사업무 선정,"영업이익율, 순이익율 ()",1
2022-09-30,2,CJ CGV,ICE2,2 감사인 감리 대상 개별감사업무 선정,1 개별감사업무 선정,비상장&자산 2조원 이상,0
2022-09-30,3,HD현대,IM1,1 감리위험요소평가,4 한계기업,코스닥 영업손실,0
2022-09-30,3,HD현대,IM1,1 감리위험요소평가,1 표본심사,당기손익과 영업 CF 괴리(과거2년연속),0
